"idx","scalebar_px","scalebar_mi","mi_per_px","crop_w_px","crop_h_px","res","fpf","path","source_id"
"126","50.734","1","0.019710648","250","253","63250","44","./Whole/Whole_00071.png","SRC_0059"
"127","50.755","1","0.019702492","253","252","63756","65","./Whole/Whole_00072.png","SRC_0059"
"128","51.714","1","0.019337123","251","252","63252","48","./Whole/Whole_00073.png","SRC_0059"
"129","51.701","1","0.019341986","256","257","65792","50","./Whole/Whole_00074.png","SRC_0059"
"130","51.2","1","0.01953125","255","256","65280","53","./Whole/Whole_00075.png","SRC_0059"
"112","149.859","100","0.667293923","317","169","53573","25.51","./Whole/Whole_00076.png","SRC_0060"
"113","151.621","100","0.659539246","286","235","67210","34.99","./Whole/Whole_00077.png","SRC_0060"
"114","150.58","100","0.664098818","309","157","48513","47.11","./Whole/Whole_00078.png","SRC_0060"
"115","151.608","100","0.6595958","306","179","54774","44.3","./Whole/Whole_00079.png","SRC_0060"
"117","152.521","100","0.655647419","228","222","50616","44.5","./Whole/Whole_00080.png","SRC_0060"
"190","14.385","1","0.069516858","405","417","168885","25.3","./Whole/Whole_00113.png","SRC_0061"
"191","11.722","1","0.085309674","421","420","176820","60.8","./Whole/Whole_00114.png","SRC_0061"
"191","13.181","1","0.075866778","387","377","145899","60.8","./Whole/Whole_00115.png","SRC_0061"
"191","11.678","1","0.085631101","374","368","137632","60.8","./Whole/Whole_00116.png","SRC_0061"
"448","120.03","1","0.008331251","529","321","169809","72.57","./Whole/Whole_00181.png","SRC_0020"
"448","77.665","1","0.012875813","483","321","155043","72.57","./Whole/Whole_00182.png","SRC_0020"
"456","38.71","2","0.051666236","523","427","223321","22.15","./Whole/Whole_00189.png","SRC_0019"
"457","35.364","2","0.056554688","584","363","211992","21.34","./Whole/Whole_00190.png","SRC_0019"
"460","221.018","50","0.226225918","543","341","185163","24.99","./Whole/Whole_00191.png","SRC_0021"
"461","217.037","50","0.230375466","544","348","189312","31.5","./Whole/Whole_00192.png","SRC_0021"
"459","172.64","10","0.057924004","409","276","112884","59.47","./Whole/Whole_00193.png","SRC_0021"
"458","177.865","10","0.056222416","417","271","113007","27.71","./Whole/Whole_00194.png","SRC_0021"
"466","102.027","10","0.098013271","204","227","46308","54.45","./Whole/Whole_00195.png","SRC_0022"
"467","101.61","10","0.09841551","229","192","43968","62.7","./Whole/Whole_00196.png","SRC_0022"
"468","101.81","10","0.098222179","228","196","44688","67.15","./Whole/Whole_00197.png","SRC_0022"
"464","102.556","10","0.097507703","211","228","48108","69.5","./Whole/Whole_00198.png","SRC_0022"
"465","100.513","10","0.099489618","231","192","44352","60.4","./Whole/Whole_00199.png","SRC_0022"
"479","125.625","10","0.07960199","437","254","110998","50.59","./Whole/Whole_00200.png","SRC_0023"
"479","177.034","4","0.02259453","437","264","115368","50.59","./Whole/Whole_00201.png","SRC_0023"
"481","119.44","10","0.083724046","418","259","108262","53.07","./Whole/Whole_00202.png","SRC_0023"
